일자,계(명),국내발생(명),해외유입(명),사망(명),,열2,열3,열4,열5,,
2020.1.20,1 ,-,1 ,-,,,,,,,
2020.1.21,0 ,-,-,-,,,,,,,
2020.1.22,0 ,-,-,-,,,,,,,
2020.1.23,0 ,-,-,-,,,,,,,
2020.1.24,1 ,-,1 ,-,,,,,,,
2020.1.25,0 ,-,-,-,,,,,,,
2020.1.26,1 ,-,1 ,-,,,,,,,
2020.1.27,1 ,-,1 ,-,,,,,,,
2020.1.28,0 ,-,-,-,,,,,,,
2020.1.29,0 ,-,-,-,,,,,,,
2020.1.30,3 ,1 ,2 ,-,,,,,,,
2020.1.31,4 ,3 ,1 ,-,,,,,,,
2020.2.1,1 ,-,1 ,-,,,,,,,
2020.2.2,3 ,1 ,2 ,-,,,,,,,
2020.2.3,0 ,-,-,-,,,,,,,
2020.2.4,1 ,-,1 ,-,,,,,,,
2020.2.5,5 ,3 ,2 ,-,,,,,,,
2020.2.6,3 ,1 ,2 ,-,,,,,,,
2020.2.7,0 ,-,-,-,,,,,,,
2020.2.8,0 ,-,-,-,,,,,,,
2020.2.9,3 ,1 ,2 ,-,,,,,,,
2020.2.10,1 ,1 ,-,-,,,,,,,
2020.2.11,0 ,-,-,-,,,,,,,
2020.2.12,0 ,-,-,-,,,,,,,
2020.2.13,0 ,-,-,-,,,,,,,
2020.2.14,0 ,-,-,-,,,,,,,
2020.2.15,0 ,-,-,-,,,,,,,
2020.2.16,2 ,2 ,-,-,,,,,,,
2020.2.17,0 ,-,-,-,,,,,,,
2020.2.18,2 ,2 ,-,-,,,,,,,
2020.2.19,34 ,34 ,-,-,,,,,,,
2020.2.20,16 ,16 ,-,1,,,,,,,
2020.2.21,74 ,74 ,-,-,,,,,,,
2020.2.22,190 ,190 ,-,2,,,,,,,
2020.2.23,210 ,209 ,1 ,-,,,,,,,
2020.2.24,207 ,206 ,1 ,4,,,,,,,
2020.2.25,130 ,129 ,1 ,1,,,,,,,
2020.2.26,253 ,252 ,1 ,3,,,,,,,
2020.2.27,449 ,447 ,2 ,1,,,,,,,
2020.2.28,427 ,427 ,-,1,,,,,,,
2020.2.29,909 ,909 ,-,3,,,,,,,
2020.3.1,595 ,593 ,2 ,1,,,,,,,
2020.3.2,686 ,684 ,2 ,6,,,,,,,
2020.3.3,600 ,599 ,1 ,5,,,,,,,
2020.3.4,516 ,516 ,-,4,,,,,,,
2020.3.5,438 ,437 ,1 ,3,,,,,,,
2020.3.6,518 ,518 ,-,7,,,,,,,
2020.3.7,483 ,483 ,-,2,,,,,,,
2020.3.8,367 ,366 ,1 ,6,,,,,,,
2020.3.9,248 ,247 ,1 ,1,,,,,,,
2020.3.10,131 ,131 ,-,3,,,,,,,
2020.3.11,242 ,239 ,3 ,6,,,,,,,
2020.3.12,114 ,112 ,2 ,6,,,,,,,
2020.3.13,110 ,107 ,3 ,1,,,,,,,
2020.3.14,107 ,102 ,5 ,5,,,,,,,
2020.3.15,76 ,72 ,4 ,3,,,,,,,
2020.3.16,74 ,70 ,4 ,-,,,,,,,
2020.3.17,84 ,79 ,5 ,6,,,,,,,
2020.3.18,93 ,80 ,13 ,3,,,,,,,
2020.3.19,152 ,135 ,17 ,7,,,,,,,
2020.3.20,87 ,73 ,14 ,3,,,,,,,
2020.3.21,147 ,126 ,21 ,8,,,,,,,
2020.3.22,98 ,77 ,21 ,2,,,,,,,
2020.3.23,64 ,46 ,18 ,7,,,,,,,
2020.3.24,76 ,46 ,30 ,9,,,,,,,
2020.3.25,100 ,42 ,58 ,6,,,,,,,
2020.3.26,104 ,56 ,48 ,5,,,,,,,
2020.3.27,91 ,57 ,34 ,8,,,,,,,
2020.3.28,146 ,90 ,56 ,5,,,,,,,
2020.3.29,105 ,38 ,67 ,8,,,,,,,
2020.3.30,78 ,35 ,43 ,6,,,,,,,
2020.3.31,125 ,88 ,37 ,4,,,,,,,
2020.4.1,101 ,56 ,45 ,3,,,,,,,
2020.4.2,89 ,43 ,46 ,4,,,,,,,
2020.4.3,86 ,37 ,49 ,5,,,,,,,
2020.4.4,94 ,53 ,41 ,3,,,,,,,
2020.4.5,81 ,31 ,50 ,6,,,,,,,
2020.4.6,47 ,25 ,22 ,3,,,,,,,
2020.4.7,47 ,23 ,24 ,6,,,,,,,
2020.4.8,53 ,23 ,30 ,8,,,,,,,
2020.4.9,39 ,13 ,26 ,4,,,,,,,
2020.4.10,27 ,17 ,10 ,4,,,,,,,
2020.4.11,30 ,16 ,14 ,3,,,,,,,
2020.4.12,32 ,9 ,23 ,3,,,,,,,
2020.4.13,25 ,10 ,15 ,3,,,,,,,
2020.4.14,27 ,11 ,16 ,5,,,,,,,
2020.4.15,27 ,13 ,14 ,3,,,,,,,
2020.4.16,22 ,11 ,11 ,4,,,,,,,
2020.4.17,22 ,7 ,15 ,1,,,,,,,
2020.4.18,18 ,9 ,9 ,2,,,,,,,
2020.4.19,8 ,2 ,6 ,2,,,,,,,
2020.4.20,13 ,6 ,7 ,2,,,,,,,
2020.4.21,9 ,4 ,5 ,1,,,,,,,
2020.4.22,11 ,5 ,6 ,1,,,,,,,
2020.4.23,8 ,4 ,4 ,2,,,,,,,
2020.4.24,6 ,4 ,2 ,-,,,,,,,
2020.4.25,10 ,5 ,5 ,-,,,,,,,
2020.4.26,10 ,1 ,9 ,2,,,,,,,
2020.4.27,10 ,3 ,7 ,1,,,,,,,
2020.4.28,14 ,2 ,12 ,1,,,,,,,
2020.4.29,9 ,4 ,5 ,2,,,,,,,
2020.4.30,4 ,-,4 ,1,,,,,,,
2020.5.1,9 ,1 ,8 ,1,,,,,,,
2020.5.2,6 ,-,6 ,2,,,,,,,
2020.5.3,13 ,3 ,10 ,-,,,,,,,
2020.5.4,8 ,-,8 ,2,,,,,,,
2020.5.5,3 ,-,3 ,2,,,,,,,
2020.5.6,2 ,-,2 ,1,,,,,,,
2020.5.7,4 ,1 ,3 ,1,,,,,,,
2020.5.8,12 ,1 ,11 ,-,,,,,,,
2020.5.9,18 ,17 ,1 ,-,,,,,,,
2020.5.10,34 ,26 ,8 ,-,,,,,,,
2020.5.11,35 ,29 ,6 ,-,,,,,,,
2020.5.12,27 ,22 ,5 ,2,,,,,,,
2020.5.13,26 ,22 ,4 ,1,,,,,,,
2020.5.14,29 ,26 ,3 ,1,,,,,,,
2020.5.15,27 ,22 ,5 ,-,,,,,,,
2020.5.16,19 ,9 ,10 ,2,,,,,,,
2020.5.17,13 ,6 ,7 ,-,,,,,,,
2020.5.18,15 ,5 ,10 ,1,,,,,,,
2020.5.19,13 ,9 ,4 ,-,,,,,,,
2020.5.20,32 ,24 ,8 ,-,,,,,,,
2020.5.21,12 ,10 ,2 ,1,,,,,,,
2020.5.22,20 ,11 ,9 ,-,,,,,,,
2020.5.23,23 ,19 ,4 ,2,,,,,,,
2020.5.24,25 ,17 ,8 ,-,,,,,,,
2020.5.25,16 ,13 ,3 ,1,,,,,,,
2020.5.26,19 ,16 ,3 ,2,,,,,,,
2020.5.27,40 ,37 ,3 ,-,,,,,,,
2020.5.28,79 ,68 ,11 ,-,,,,,,,
2020.5.29,58 ,55 ,3 ,-,,,,,,,
2020.5.30,39 ,27 ,12 ,-,,,,,,,
2020.5.31,27 ,15 ,12 ,1,,,,,,,
2020.6.1,35 ,30 ,5 ,1,,,,,,,
2020.6.2,38 ,36 ,2 ,1,,,,,,,
2020.6.3,49 ,46 ,3 ,1,,,,,,,
2020.6.4,39 ,33 ,6 ,-,,,,,,,
2020.6.5,39 ,34 ,5 ,-,,,,,,,
2020.6.6,51 ,43 ,8 ,-,,,,,,,
2020.6.7,57 ,53 ,4 ,-,,,,,,,
2020.6.8,37 ,32 ,5 ,-,,,,,,,
2020.6.9,38 ,35 ,3 ,1,,,,,,,
2020.6.10,50 ,43 ,7 ,2,,,,,,,
2020.6.11,45 ,40 ,5 ,-,,,,,,,
2020.6.12,56 ,43 ,13 ,1,,,,,,,
2020.6.13,48 ,43 ,5 ,-,,,,,,,
2020.6.14,34 ,31 ,3 ,-,,,,,,,
2020.6.15,37 ,24 ,13 ,-,,,,,,,
2020.6.16,34 ,21 ,13 ,1,,,,,,,
2020.6.17,43 ,31 ,12 ,1,,,,,,,
2020.6.18,59 ,51 ,8 ,1,,,,,,,
2020.6.19,49 ,32 ,17 ,-,,,,,,,
2020.6.20,67 ,36 ,31 ,-,,,,,,,
2020.6.21,48 ,40 ,8 ,-,,,,,,,
2020.6.22,17 ,11 ,6 ,-,,,,,,,
2020.6.23,46 ,16 ,30 ,1,,,,,,,
2020.6.24,51 ,30 ,21 ,-,,,,,,,
2020.6.25,28 ,23 ,5 ,1,,,,,,,
2020.6.26,39 ,26 ,13 ,-,,,,,,,
2020.6.27,51 ,31 ,20 ,-,,,,,,,
2020.6.28,62 ,40 ,22 ,-,,,,,,,
2020.6.29,42 ,30 ,12 ,-,,,,,,,
2020.6.30,42 ,22 ,20 ,-,,,,,,,
2020.7.1,51 ,36 ,15 ,-,,,,,,,
2020.7.2,54 ,44 ,10 ,-,,,,,,,
2020.7.3,61 ,49 ,12 ,-,,,,,,,
2020.7.4,63 ,36 ,27 ,1,,,,,,,
